id,name,edate,ctype,twitter,link,incdate,incnum,cdate,creason,creasonx,ophqcity,ophq,leghqcity,leghq,arbjur,cryptonative,classifier,description,fte,verified,comments
10405,"2011-01-01:""Vaurum"";
2014-11-12:""Mirrorlabs""",01/01/2011,Private,,https://mirrorx.com/#/home,01/01/2011,,01/01/2017,Pivot away from Bitcoin,R,"Palo Alto, California",United States,California,United States,,Native,101001000,Escrow Exchange and Smart Contracts Trading Platform (until 2014); Pivot towards Smart Contracts and Derivatives Trading Platform allowing to trade private companies (2015),,TRUE,
10406,MonetaGo,01/06/2015,Private,@monetago,https://www.monetago.com/,01/09/2014,,,,,Mumbai,India,NYC,United States,,Native,"183403301,183403300","Application development, sub segment protocols",,TRUE,
10408,Moolah,14/03/2014,Private,,https://moolah.io/,03/03/2014,"8,920,347.00",15/12/2014,Filed for bankruptcy; later turned out that CEO was a scammer who conned the company and its affiliated services,R,,United Kingdom,London,United Kingdom,,Native,"101001000,111301200","Multi-Coin Exchange ""Prelude""; Payment Processor",,TRUE,Formerly mymoneycloud
10410,Mt. Gox,01/07/2010,Private,,,01/07/2010,,01/02/2014,Filed for bankruptcy after losing huge amount of customer funds. Most Famous crypto exchange closure.,R,Tokyo,Japan,Tokyo,Japan,,Native,101001000,Exchange,,TRUE,
10411,MultiBit,01/09/2011,Private,@multibitorg,https://multibit.org/,,603 378 198,27/07/2017,"Acquied by Keepkey, defunct",A,London,United Kingdom,Washington,United States,,Native,121601500,Desktop Wallet,,TRUE,
10413,MyBitcoin,01/01/2010,Private,,http://www.mybitcoin.com/,,,29/07/2011,Got apparently hacked and was shut down,R,,Unidentified,,Unidentified,,Native,121601500,Wallet,,TRUE,49% of user funds returned
10414,Mycelium,01/09/2013,Private,@MyceliumCom,https://wallet.mycelium.com/,07/06/2018,FL-0002.583.592-9,,,,,Unidentified,,Liechtenstein,,Native,"2013-09-01:121611601;
2014-01-01:121611601;
2015-01-01:121611601,111301200,121611602;
2016-01-01:121611601,111301200,121611602,111301204","Wallet; Built-in P2P Exchange (""LocalTrader"", 2014); USB Paper Wallet Creator (""Entropy""); Built-in Payment Processor/Payroll Service (""Gear"", 2015), online and instore merchant ordering and payment system (""Swish""), card (2016)",,TRUE,"Founded in 2008, switched focus to Bitcoin in 2012/13 -- according to their own claim"
10415,MyCoin,01/01/2014,,,,,,09/02/2015,Ponzi-Scheme Scam,R,,Hong Kong,,Unidentified,,Native,"101001000,101001003",Exchange; Trading Platform,,TRUE,"owner disappeared with possibly as much as HK$3bn ($386.9m) in investor funds --> sold ""fake"" (i.e. non-existing) bitcoins, hence no effect on market price when news about the scam came out: However, now it appears it's more around $8-9m that were lost."
10417,NairaEx,01/10/2015,Private,@nairaex,https://www.nairaex.com/,01/01/2015,,,,,,Nigeria,,Unidentified,,Native,101001000,Exchange,,TRUE,
10418,Netcoins,01/01/2015,Private,@netcoins,https://www.netcoins.app/,08/07/2014,"805,024,973.00",,,,Vancouver,Canada,Vacouver,Canada,,Native,101011101,"OTC market for multiple cryptocurrencies, with physical locations in Canada",,TRUE,"Beta launch in autumn 2015, official public launch in January 2016"
10419,Neuroware,01/11/2014,Private,@neurowareio,http://neuroware.io/,01/05/2014,"976,862.00",,,,Kuala Lampur,Malaysia,Kuala Lampur,Malaysia,,Native,"183403300,183403301","Developer Platform/General API Provider (First Product ""Blockstrap"")",,TRUE,
10420,Newnote Financial,01/01/2014,Public,@puretradeexch,http://www.newnote.com/,06/12/2013,,16/11/2016,"Delisted from Canadian Securities Exchange, No evidence of operation",R,Vancouver,Canada,Vancouver,Canada,,Partial pivot,"2014-01-01:101001000,131901703,183403301;
2015-01-01:101011102,111301200","Exchange ""Puretrade"" (integrated with Cointrader.net in 2015); Cloud Mining ""Newnote Miner""; Bitcoin ATM Operator (2015), Pament Processor with ""Coinzero"" PoS software (2015)
Software Development, Puretrade Exchange, Data Centre, Newnote Miner, Bitcoin Point of Sale System (POS), Bitcoin ATM, and Vanity Coins (Custom Crypto Currency)",,TRUE,"Founded in 2010 as ""Winrock Resources Inc"", rebranded in April 2014 and started focusing on Bitcoin and cryptocurrency-related services --> only included from 2014 onwards. Public company traded on stock marketshttp://www.fscwire.com/sites/default/files/news_release_pdf/winrock04082014.pdf"
10421,NewsBTC,01/10/2013,Private,@newsbtc,https://www.newsbtc.com/,,,,,,London,United Kingdom,London,United Kingdom,,Native,162812700,Media,,TRUE,
10422,Nucleus Market,01/10/2014,Private,@nucleus_market,http://nucleusmarket.org,,,13/04/2016,"Collapsed for unknown reasons, taking escrowed coins with it",R,,Unidentified,,Unidentified,,Native,111301203,Online Black Market,,TRUE,
10424,OKCoin,04/09/2013,Private,@okcoin,https://www.okcoin.com/,31/10/2017,C4080221,,,,Beijing,China,California,United States,,Native,"2013-09-04:101001000;
2014-01-01:101001000,101001003,193713701;
2019-01-01:101001000,101001003,214604200","Exchange; Derivatives Platform through the subsidiary OKEx; Side services advisory, trading, fundraising support",217,TRUE,"Has operations in Malta, Hong Kong and Cyprus as well. However, I think the headquarters are in USA. Anton added: according to LinkedIn they are all in Beijing, so I think that their HQ is their"
10425,"2013-07-31:""Mastercoin"";
2015-01-18:""Omni Layer""",31/07/2013,Private,@Omni_layer,https://www.omnilayer.org/,,,,,,,Unidentified,,Unidentified,,Native,"2013-07-31:142201900,183403300;
2015-01-18:142201900,183403300,121601500,152512303",Protocol layer on top of Bitcoin Blockchain enabling asset issuance. Foundation overseeing development and funding.,13,,"Project started in 2012, Foundation was founded in December 2013"
10426,OpenBazaar,01/04/2016,Private,@openbazaar,https://openbazaar.org/,01/04/2015,F1991563,,,,Virginia,United States,Virginia,United States,,Native,"101021201,111301203",Decentralized marketplace for peer-to-peer commerce using cryptocurrency,8,TRUE,
10427,"2015-11-01:""Oraclize"";
2019-03-07:""Provable""",04/11/2015,Private,@provablethings,http://provable.xyz/,18/08/2016,"10,334,939.00",09/05/2019,Acquired by Poseidon Group,A,London,United Kingdom,Wimbledon,United Kingdom,England and Wales,Native,183423500,Provably-honest Oracles Service for smart contracts (Bitcoin and Ethereum),,TRUE,
10428,Orisi,01/06/2014,Private,,https://orisi.org/,01/03/2014,,01/06/2015,"Project is ""on pause"" for some years now",R,,Poland,,,,Native,183423500,Open-Source Distributed Oracle Service for smart contracts on Bitcoin,,TRUE,
10429,Pandora,01/10/2013,Private,,,,,01/11/2014,Exit Scam,R,,,,,,,111301203,Online Black Market,,TRUE,
10430,Paxful,01/06/2014,Private,@paxful,https://paxful.com/,17/07/2015,"5,786,843.00",,,,New York,United States,"Wilmington, Delaware",United States,"Delaware, United States",Native,"2014-06-01:101011103;
2016-04-01:101011103,111301200;
2019-07-01:101011103,111301200,121611601","P2P Marketplace for Buying And Selling bitcoins; Payment Processor (but already discontinued in 2014/15), Merchant services (Pay with Paxful, April 2016), Mobile Wallet (Paxful Bitcoin Wallet App, July 2019)",2019-01-01:100,TRUE,"over 100 employees around the world with offices in New York City USA, Hong Kong, Tallinn Estonia and Manila Philippines"
10432,Paymium,29/12/2010,Private,@paymium,https://www.paymium.com/,01/07/2011,53 326 480 000 012,,,,Paris,France,Boulogne-Billancourt,France,France,Native,"2010-12-29:101001000;
2012-04-06:101001000,121611601;
2013-04-26:101001000;
2014-06-30:101001000,111301200;
2019-01-01:101001000,101001002","Exchange ""Bitcoin-Central.net"" ; Wallet ""Paytunia"" (April 2012, inactive since April 2013); Payment Processor (2014-06-30), Trading platform (October 2018), Market Making (2019 Q1)","2016-01-01:8;
2017-01-01:10;
2018-01-01:15",TRUE,
10433,PeerNova,01/05/2014,Private,@Peernovainc,https://peernova.com/,19/05/2014,"5,521,581.00",17/12/2014,Pivot towards Enterprise Blockchain Solution,P,"San Jose, California",United States,"Wilmington, Delaware",United States,"Delaware, United States",Native,"2014-05-01:131901700,131901703","Mining Hardware; Cloud Mining ""HashCloud"" (both until 2015 included); Pivot towards blockchain-based financial platform (2015). Although indicated maintaining their mining activities.",,TRUE,"Emerged in May 2014 from the merger of CloudHashing, which offers cloud mining contracts, and enterprise ASIC hardware designer HighBitcoin"
10434,Love Will Inc.,01/03/2014,Private,@pheevaWallet,https://pheeva.com/,21/01/2014,,28/05/2014,Dissolution,,"Lexington, Kentucky",United States,"Lexington, Kentucky",United States,"Kentucky, United States",Native,2014-03-01:121611601,Wallet,,TRUE,"""Love Will Inc"" also has other products, however these don't use the bitcoin blockchain. Love Will Inc website is no longer accessible."
10435,Poloniex,01/01/2014,Private,@Poloniex,https://www.poloniex.com/,09/02/2016,"2016-02-09:5959580;
2018-05-21:001328605",26/02/2018,Acquired by Circle but still operational,A,"2014-01-01:""Wilmington, Delaware"";
2018-05-21:""Boston, Massachussets"";",United States,"2014-01-01:""Wilmington, Delaware"";
2018-05-21:""Boston, Massachaussets"";
2019-07-22:""Hamilton""","2014-01-01:""United States"";
2019-07-22:""Bermuda""","Massachussets, United States",Native,"2014-01-01:101001000;
2015-01-01:101001000,173103000",Multi-Coin Only Exchange; Margin Trading (2015); Lending Platform (2015),,TRUE,"Hold MSB (FinCen) license registration number 31000091844018
Hold DABA Class F (Bermuda) license"
10436,Polycoin,01/01/2014,Private,@polycoin_tech,https://polycoin.io/about/,01/01/2014,"14,607,616.00",,,,"2014-01-01:""Tel Aviv"";
2018-11-15:""Tallinn""","2014-01-01:""Israel"";
2018-11-15:""Estonia""","2014-01-01:""Unidentified""
2018-11-15:""Tallinn""","2014-01-01:""Unidentified""
2018-11-15:""Estonia""",Estonia,Native,"2014-01-01:111301200;
2015-06-01:111301200","Payment Processor, then in mid-2015 focus on Blockchain Compliance (still offering merchant services), followed by a pivot towards ""Smart Contracts based on Blockchain technology"" in the beginning of 2016 (?); Back to trading in 2018",10,TRUE,
10437,PopChest,01/01/2015,Private,@_popnetwork,https://thepopnetwork.org/,01/04/2015,,,,,"Venice, California",United States,Grand Cayman,Cayman Islands,,,162822803,Media Distribution Platform powered by Bitcoin micropayments,,TRUE,"Still in private beta, but platform is working. Legal name: The Pop Network Foundation Ltd"
10438,Prasos,01/01/2012,Private,@prasosltd,https://prasos.fi/,01/01/2012,2469683-1,,,,Jyv?skyl?,Finland,Jyv?skyl?,Finland,Finland,Native,"2012-01-01:101011100,162812700;
2013-01-01:101011100,162812700,101011102,121611603;
2015-01-01:101011100,162812700,101011102,162822804,121611603;
2016-02-01:101011100,162812700,101011102,101001000,111301200,162822804,121611603;
2016-10-01:101011100,162812700,101011102,101001000,111301200,162822804;
2017-08-03:101011100,162812700,101011102,101001000,111301200,121601501,162822804","News portal, Brokerage Services (""Bittiraha.fi""); Reseller of Bitcoin Security Products/Preloaded Paper Wallet (rebranded as ""BTCStore.eu"" in 2013, discontinued in Oct 2016); BTM Operator (""Bittimaatti.fi"", 2013); Physical Bitcoin (""Denarium"", 2015), Merchant Services and Exchange (""Coinmotion"", Feb 2016), Vault (""Vault"",2017-08-03)",2017-01-01:15,TRUE,https://www.invesdor.com/en/pitches/875
10439,Predictious,01/07/2013,Private,@Predictious,https://www.predictious.com/,04/08/2010,"487,310.00",,,,Dublin,Ireland,Dublin,Ireland,Ireland,Native,162822805,Bitcoin Prediction Market,,TRUE,
10442,ProTip,20/07/2015,Private,@ProTipHQ,https://protip.is/,,,,,,,,,,,Native,111321401,Open-Source P2P Micropayment Chrome Browser Extension (plug-in) for automatically tipping content creators,,TRUE,
10443,Purse,09/10/2013,Private,@PurseIO,https://purse.io/,01/01/2014,"41,738.00",,,,"San Francisco, California",United States,"Wilmington, Delaware",United States,"Delaware, United States",Native,"2013-10-09:111301202,121601500",Marketplace for Amazon Gift Cards; Escrow Service,2018-01-01:19,TRUE,
10444,Quadriga CX,01/12/2013,Private,,www.quadrigacx.com,12/11/2014,74736Q,05/02/2019,"Very famous exit, Co-founder dead with private key, supposedly unfortunate coincidence",,"Vamcouver, British Columbia",Canada,"Vancouver, British Columbia",Canada,"British Columbia, Alberta",Native,"2013-12-01:101001000;
2014-01-30:101001000,101011102,111301200,111311302",Exchange; Marchant services and Remittances (2014); Bitcoin ATM Operator (2014-01-30),,TRUE,More information about its current status here: https://www.quadrigacxtrustee.com/
10445,Quickwallet,15/07/2014,Private,,,01/01/2014,,01/08/2014,"Acquired by ""Huobi""",A,,China,,China,,Native,121601500,Wallet,,TRUE,
10446,Qukuai.com,01/07/2014,Private,,,01/01/2014,,01/08/2014,"Acquired by ""Huobi""",A,,China,,China,,Native,152512303,Block Explorer,,TRUE,
10447,Quedex Limited,10/01/2018,Private,@quedexnet,https://quedex.net/,31/07/2019,"114,763.00",,,,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Native,"2018-01-10:101001000,121601501","Bitcoin Options and Futures Exchange (Trading Platform), Custodian Services",,TRUE,Regulated under Gribraltar's DLT Providers license (06/2019) Multi-sig cold wallet
10448,Quoine Pte Ltd,15/05/2014,Private,@QUOINE_Japan,https://www.liquid.com/,01/01/2014,,,,,"2014-05-15:""Singapore"";
2016-01-01:""Tokyo""","2014-05-15:""Singapore"";
2016-01-01:""Japan""",Singapore,Singapore,Singapore,Native,"2014-05-15:101001000;
2015-06-01:101001000,111301200;
2018-05-06:101001000,111301200,214604200;
2018-06-27:101001000,111301200,214604200,173103002","Exchange; Derivatives & Trading Platform (2014-05-15""Quoinex"",2017-08-01""Qryptos"", 2018-09-05""Liquid""); Payment Processor (2015-06-01), Margin lending (2018-06-27), IEO platform (2018-05-06)","2016-01-01:25;
2017-01-01:96;
2018-04-01:207",TRUE,"Quoine is a wholly owned subsidiary of QuoineCorporation, a Japanese corporation.To the extent related to card acquiring and payment processing services(being part of the Services) these services are provided by Quoine (Gibraltar) Limited (registered address: Suite 741C, Europort, GX11 1AA, Gibraltar; operational address: The Worklab, G04, WestOne, Europort Road, GX11 1AA, Gibraltar).
Partnership with LendingBlock:https://lendingblock.com/news/lendingblock/"
10449,KK Social Minds,20/01/2014,Private,@edmundedgar,https://www.socialminds.jp/,17/06/2009,,,,R,Tokyo,Japan,Tokyo,Japan,"Tokyo, Japan",Complete pivot,"2014-01-20:162822805;
2018-12-01:183423500","Oracle Service for smart contracts (""Realitio"",2018-12-01), Prediction market (""Reality Keys"", 2014-01-20-2018-12-01),",,TRUE,Social Minds founded this subsidiary for entering into Bitcoin ecosystem
10450,"2013-11-01:""Robocoin""
2015-04-21:""Romit""
",01/11/2013,Private,,,15/07/2014,"5,568,873.00",15/01/2016,"Pivot in 2015 towards remittances platform, then discontinuation of Bitcoin services",R,"Las Vegas, California",United States,"Wilmington, Delaware",United States,"Delaware, United States",Native,"2013-11-01:101011102;
2014-09-01:101011102,121601500;
2015-04-21:101011102,121601500,111311302;","Bitcoin ATM Manufacturer (until 2015 included); Remittances (""Romit"", 2015-04-21), Wallet (""Robocoin Wallet, 2014-09-01)",,TRUE,
10452,RTBTC,01/07/2013,Private,,,10/06/2013,"801,798,690.00",04/03/2014,"Acquired by ZeroBlock, owned by Blockchian.info",A,Texas,United States,Texas,United States,"Texas, United States",Native,"101001000,152512301","Trading Platform, Market visualisation",,TRUE,
10453,SABR.io,01/07/2015,,,,01/01/2015,,01/12/2016,Defunct,R,New York,United States,,Unidentified,,,152502200,Compliance/Analytics & Data Blockchain forensics,,TRUE,
10454,Safebit,01/09/2011,Private,@safebitio,https://safebit.io/,01/01/2011,"514,543,479.00",01/01/2013,Development discontinued (lack of developers),R,Tel Aviv,Israel,Tel Aviv,Israel,Israel,Native,121601500,Software Wallet,,TRUE,Seems to have resume operations in 2018: https://medium.com/safebit/introducing-safebit-a75f2a231008
10455,Safello,01/07/2013,Private,@SafelloAB,https://safello.com/,01/07/2013,556954-4165,,,,Stockholm,Sweden,Stockholm,Sweden,Sweden,Native,"2013-07-01:101011100;
2014-09-04:101011100,121611601;","Brokerage Services; Wallet (09.2014), Fundraising service for charities(?) (08.2014)",,TRUE,
10456,Satoshi Citadel Industries,01/05/2014,Private,@SCI_Ventures,https://www.sci.ph/,01/03/2014,,,,,Manila,Philippines,Manila,Philippines,Phillipines,Native,"2014-05-01:111301200,111311302,111301201,162802600;
2015-04-01:111301200,111311302,111301201,162802600,101011100;
2015-05-01:111301200,111311302,101011100;
2016-01-01:111301200,111311302,101011100,121601500;
2016-08-01:111301200,111311302,101011100,121601500,214304100,162812700;
2016-12-01:111311302,101011100,121601500","Payment Processor ""Bitmarket.ph""/""Coinage"" (until end 2018); Remittances ""Rebit.ph""; Buy bitcoin via Prepaid Card ""PrepaidBitcoin.ph"" (until end 2018); Bitcoin Social Media (""BitStars"", until 05.2015) Bill Payment Provider ""Bills.Ninja"" (until 05.2015); Brokerage Services ""BuyBitcoin.ph"" (04.2015); Mobile Wallet ""Bitbit.cash"" (2016), Investment service (""KEZA"", 08.2016), News (""Lifebit"",2016)",,TRUE,SCI Ventures Inc.'s wholly-owned subsidiary - Rebittance Inc.
10458,SatoshiLabs,12/12/2013,Private,@satoshilabs,https://satoshilabs.com/,12/12/2013,"2,440,032.00",,,,Prague,Czechia,Prague,Czechia,Czech Republic,Native,"2013-03-01:131901705,152512300;
2014-01-01:131901705,152512300,121611602","""Coinmap"" Directory Service (2013-03-01); Slush Pool (2010); Trezor Wallet (first shipped in 07.2014)",,TRUE,
10459,SatoshiPay,01/02/2016,Private,@SatoshiPay,https://satoshipay.io/,01/09/2014,"170,212.00",,,,Berlin,Germany,Berlin,Germany,Germany,Native,111321401,Nanopayments for Content Publishers,,TRUE,
10460,SatoshiTango,01/05/2014,Private,@SatoshiTango,https://www.satoshitango.com/en/,17/06/2015,012470V,,,,Buenos Aires,Argentina,Douglas,United Kingdom,Isle of Man,Native,"2014-05-01:101011100;
2015-03-01:101011100,111311302,111301204,111301201","Brokerage Services; Remittances (""Coinnect"", 2015-03-01 - in partnership with Volabit); Debit Card Provider (2015); Bill payment",,TRUE,Parent company: Finantech Limited
10461,Scorechain,01/01/2015,Private,@scorechain,https://www.scorechain.com/,07/08/2015,B199146,,,,Luxembourg,Luxembourg,Luxembourg,Luxembourg,,Native,"152502200,193703604","Blockchain Forensics, Compliance",,TRUE,
10464,SFOX,01/07/2014,Private,@SFox,https://www.sfox.com/,05/05/2015,"802,208,789.00",,,,"Los Angeles, California",United States,"Austin, Texas",United States,"California, United States",Native,"101011100,152512301,101001003","Brokerage, 3rd party Trading Platform,Market Data","2016-01-01:3;
2017-01-01:6;
2018-01-01:17",TRUE,Entire name: San Francisco Open Exchange (SFOX)
10465,ShapeShift.io,01/08/2014,Private,,https://shapeshift.io/#/coins,21/04/2017,CHE-367.039.468,,,,New York,United States,Zug,Switzerland,United Kingdom,Native,"2014-08-01:101001000;
2017-08-16:101001000,121601500","Instant Multi-Coin Only Exchange (without account/wallet), Hardware wallet (acquisition of KeepKey, 2017-08-16)","2016-01-01:22;
2017-01-01:86;
2018-01-01:97",TRUE,Legal name: ShapeShift Global Limited
10466,Sheep Marketplace,01/03/2013,,,,01/03/2013,,01/12/2013,"Shut down after vendor exploited a bug and stole $6MM in BTC -->however, some users believe it was a scam",R,N/A,N/A,N/A,N/A,N/A,Native,111301203,Online Black Market,,TRUE,
10467,"2014-05-01:""Shift Payments"";
2019-04-01:""Aptopayments""",01/01/2014,Private,@Apto_Payments,https://www.aptopayments.com/#/,09/05/2014,"5,530,853.00",,,,"San Francisco, California",United States,"Wilmington, Delaware",United States,N/A,Native,111301204,"Debit Card ""Shift Card"" (links Bitcoin; VISA; loyalty cards, etc together)",,TRUE,Apto Payments is developing the Coinbase Card app. Coinbase previously partnered with Shift Payments to issue a card in the U.S. (November 2015)
10468,Silk Road,01/02/2011,,,,01/01/2011,,01/10/2013,Shut down by the FBI,R,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Native,111301203,Online Darknet Markeplace,,TRUE,
10469,Silk Road 2.0,01/11/2013,,,,01/11/2013,,01/11/2014,Shut down by the FBI,R,N/A,N/A,N/A,N/A,N/A,Native,111301203,Online Black Market,,TRUE,
10470,Simplex,01/01/2015,Private,@SimplexCC,https://www.simplex.com/,28/04/2014,"515,073,419.00",,,,N/A,Israel,Givatayim,Israel,Israel,Native,111301200,"Merchant Services, Credit Card Payments Platform (Processing + Fraud Detection) for Bitcoin Sellers and Buyers (Exchanges, Brokers, Businesses)",,TRUE,Legal name: SimplexCC Ltd.
10471,SkyCoinLab,01/04/2014,Private,@skycoinlab,,10/07/2014,,30/06/2016,Defunct,R,"Sudbury, Ontario",Canada,"Sudbury, Ontario",Canada,,Native,131901703,Multi-Coin Cloud Mining,,TRUE,Legal name: SKYCOINLAB CRYPTOCURRENCY SERVICES
10472,Skyhook,01/05/2014,Private,,,01/01/2013,854876-93,01/01/2015,Project not maintained/supported anymore,R,"Portland, Oregon",United States,"Portland, Oregon",United States,,Native,101011102,Open-Source Portable Bitcoin ATM Manufacturer,,TRUE,"Legal name: SKYHOOK, LLC"
10473,"2010-12-01:""Bitcoin.cz"";
2014-06-01:""Slush Pool""",01/12/2010,,@slushpool,https://slushpool.com/,01/01/2010,,,,,Prague,Czechia,Prague,Czechia,,Native,131901705,Mining Pool,,TRUE,Slushpool is not actually a legal entity but shifted hands from SatoshiLabs to Braiins
10474,Smartbit,05/07/2015,Private,@smartbithq,https://www.smartbit.com.au/,,,,,,Melbourne,Australia,N/A,N/A,Australia,Native,152512303,Block Explorer (including scripts and OP_Returns); Blockchain Data Provider (Stats and Charts),,TRUE,
10475,"2013-11-01:""Snapcard"";
2017-04-01:""Wyre""",19/11/2013,Private,@sendwyre,https://www.sendwyre.com/,19/11/2013,"5,435,000.00",,,,"San Francisco, California",United States,Delaware,United States,United States,Native,"2013-11-19:111301202;
2014-10-06:111301200;
2015-03-12:111301200,121601500;
2015-06-01:111301200,121601500,111311301;
2017-03-01:111301200,111311302;
2017-04-01:111311302;
2018-05-02:111311302,101011101","Bitcoin Shopping Cart/eCommerce (until 2014); Payment Processor (2014-10-06-2017-04-01); Remittances (""Mass Pay"", 2015-06-01); Wallet (2015-03-12-03.2017), OTC trading (""Wyre OTC desk"", 2018-05-02)",,TRUE,"Wyre Inc: Delaware, USA
Wyre Payments Inc.: subsidiary of Wyre Inc."
10476,SolidX,19/03/2014,Private,,https://sldx.com/,19/03/2014,"5,501,502.00",,,,"New York, New York",United States,Delaware,United States,United States,Native,"2014-03-19:214304100,101011100;
2016-07-07:214304100,101011100,183403301","Investment (Total Return Swaps); Brokerage Services; Consultancy; Development Platform (""Vida"",2016-07-07)",,TRUE,"Solidx Partners Inc.: Delaware, USA
SolidX Management LLC (for Bitcoin Trust): Delaware, USA, 5962269"
10477,SpectroCoin,01/10/2013,Private,@spectrocoin,https://spectrocoin.com/,01/02/2013,"303,008,845.00",,,,Vilnius,Lithuania,?iauliai,Lithuania,Lithuania,Native,"2013-10-01:101001000;
2014-01-01:101001000,111301200,121601500;
2015-01-01:101001000,111301200,121601500,111301204","Exchange; Wallet (2014); Payment Processor (2014); Debit Cards ""Spectrocard"" (2015)",36,TRUE,Legal name: UAB Spectro Finance
10478,Spendabit,01/01/2014,,@spendabit,https://spendabit.co/,01/01/2014,,,,,N/A,N/A,N/A,N/A,N/A,Native,152512302,Bitcoin Product Directory/Search Engine,,TRUE,
10479,Spondoolies Tech,01/01/2014,,@Spondoolies2,https://www.spondoolies-tech.com/,01/01/2013,,01/09/2015,"Merger with ""BTCS""",M,Nes-Tziona,Israel,N/A,N/A,Israel,Native,"131901700,131901703",Mining Hardware; Cloud,,TRUE,
10480,Stampery,01/01/2015,Private,@StamperyCo,https://stampery.com/,21/09/2015,"5,829,497.00",,,,"San Francisco, California",United States,"Dover, Delaware",United States,United States,Native,204003900,Notary Services can issue legally-binding proofs on the Bitcoin blockchain (users don't need to know they're using Bitcoin),,TRUE,
10481,Statoshi.info,07/06/2014,,,https://statoshi.info/,01/01/2014,,,,,N/A,N/A,N/A,N/A,N/A,Native,152512304,Free Open-Source Bitcoin Statistics Website (Data and Analytics),,TRUE,Operated by Jameson Lopp
10482,Streamium,21/05/2015,,@streamium_io,https://streamiumtheme.com/,01/01/2015,,,,,Buenos Aires,Argentina,,,,,162822803,Decentralized Video Streaming Platform offering micropayments to content providers through Payment Channels (Pay-as-you-go),,TRUE,
10483,"2015-04-01:""SurBTC""
2017-01-01:""Buda""",01/04/2015,Private,@BudaPuntoCom,https://www.buda.com/,01/01/2015,,,,,Santiago,Chile,Santiago,Chile,Chile,Native,101001000,Exchange,,TRUE,"Several entitites: SURBTC SpA (Chile), SURBTC SAS (Colombia), SURBTC S.A. (Per?)"
10484,Swarm,01/10/2014,Foundation,@swarmfund,https://www.swarm.fund/,01/01/2014,,,,,,United States,,United States,"California, United States",Native,"2014-01-01:214604200;
2015-06-01:183403300","Decentralized Crowdfunding Platform on Counterparty (issuing ""Swarmcoins""); in mid-2015 pivot towards Ethereum-based distributed governance platform (2015-04-01)",,TRUE,
10485,SwC Poker,01/02/2015,,@SwCPoker,https://swcpoker.eu/,01/02/2015,,,,,,Unidentified,,Unidentified,,Native,162822805,Bitcoin Poker Casino,,TRUE,
10486,SwissCEX,01/02/2014,,,,01/01/2014,,01/03/2015,"Shut down, refunded most customers",R,,Switzerland,,Switzerland,,Native,"101001000,101001000","Multi-Coin Exchange; Trading Platform, Market data",,TRUE,
10487,TabTrader,01/01/2014,Private,@tabtraderpro,https://tab-trader.com/,01/01/2013,"62,976,028.00",,,,Amsterdam,Netherlands,,Netherlands,England and Wales,Native,101001003,Mobile Trading Platform connecting to various exchanges,,TRUE,
10488,TagPesa,01/01/2014,,,,01/01/2014,,01/02/2015,"Acquired by ""igot""",A,Nairobi,Kenya,Nairobi,Kenya,,Native,"101001000,111311302","Exchange; Payment Processor, Remittances",,TRUE,
10489,Tangible Cryptography,01/01/2012,Private,,,30/12/2013,"5,457,897.00",01/12/2014,"Ceased all services in December/January 2015, not enough volume to make the Business model work",R,"Columbia, South Carolina",United States,"Wilmington, Delaware",United States,"South Carolina, United States",Native,101011100,"Brokerage Services (""Cellcoin"" and ""BitcoinsDirect"" in 2012; ""FastCash4Bitcoins"" until 2013; ""BitSimple"" in 2014)",,TRUE,Subsidiary: BitSimple LLC
10490,Tembusu,01/02/2014,Private,,www.tembusu.sg,01/01/2014,,28/05/2015,"Pivot towards ""TRUST Framework"" (not based on Bitcoin)",,Singapore,Singapore,Singapore,Singapore,Singapore,Native,101011102,"Bitcoin ATM Manufacturer and Operator; Pivot towards ""TRUST Framework"" (2015 )--> not related to Bitcoin anymore",,TRUE,Tembusu Terminals Pte Ltd. is a joint-venture between cryptocurrency consultancy firm Estates General and software/hardware development firm Red Steed Studios
10491,TeraExchange,01/09/2014,Private,@TeraExchange,https://www.teraexchange.com/,11/07/2013,"5,364,863.00",,,,"New York, New York",United States,"Wilmington, Delaware",United States,,Native,"101001000,101001000","Bitcoin Derivatives Trading Platform; Market Data (Bitcoin Price Index ""TeraBit"")",,TRUE,"Founded in 2011, but started offering bitcoin-related services in 2014"
10493,The LTB Network,01/04/2013,,@TheLTBNetwork,https://letstalkbitcoin.com/,01/01/2013,,,,,California,United States,N/A,N/A,,Native,162822800,Education; Media/Blogs,,TRUE,
10494,The Rock Trading,07/06/2011,Private,@TheRockTrading,https://www.therocktrading.com/,07/06/2011,"2013-07-01:C61326
2018-02-01:2507359",,,,Milan,Italy,"2011-06-01:""Italy""
2013-07-01:""La Valette"";
2018-02-01:""Milan""","2011-06-01:""Italy""
2013-07-01:""Malta"";
2018-02-01:""Italy""",EU,Complete pivot,"2011-06-07:101001000;
2018-09-04:101001000,101011101","Exchange; Ripple Payment Gateway (2013), also multi-coin, OTC (2018-09-04)",,TRUE,"Founded in 2007, but started offering bitcoin trading in 2011"
